date,coordinates
20221028,"-124.0577, 52.16575"
20220516,"-123.95275, 51.472067"
20220908,"-126.8573, 54.502383"
20220824,"-125.988983, 52.2409"
20220810,"-119.3552, 51.863917"
20220825,"-122.596417, 52.425867"
20220822,"-122.494217, 52.180883"
20220819,"-118.238017, 50.92905"
20221002,"-122.907383, 53.9213"
20220831,"-119.6249, 49.758183"
20220718,"-117.071633, 50.5636"
20220819,"-125.673133, 49.512"
20220402,"-122.465883, 52.603816"
20220810,"-121.8367, 50.598583"
20220409,"-124.5335, 54.054867"
20220819,"-118.4061, 50.9731"
20220901,"-119.726033, 49.479617"
20221003,"-124.572333, 49.739083"
20221010,"-120.937216, 56.037217"
20220616,"-127.588167, 58.575783"
20220809,"-119.341867, 52.017217"
20220822,"-122.01935, 52.080933"
20220824,"-120.8816, 49.654783"
20220826,"-120.68005, 49.831367"
20221007,"-124.147233, 58.095633"
20220810,"-119.280883, 52.23545"
20220819,"-126.808033, 50.064867"
20220729,"-119.604083, 51.345817"
20220729,"-117.5466, 49.153833"
20220914,"-122.922917, 50.2372"
20220628,"-120.729567, 51.506117"
20220819,"-118.073267, 50.989283"
20220901,"-126.3327, 49.9808"
20220831,"-126.3185, 49.906133"
20220819,"-124.709867, 51.910167"
20220812,"-120.614667, 50.457083"
20230329,"-121.641116, 50.2871"
20220908,"-121.62445, 49.312867"
20220822,"-119.40655, 51.957667"
20220812,"-117.195733, 49.427283"
20221006,"-123.49905, 57.72955"
20221003,"-120.754283, 50.107217"
20220813,"-123.622083, 49.465333"
20220729,"-118.177433, 51.133133"
20220624,"-131.5149, 58.925583"
20220820,"-119.268717, 52.808867"
20220630,"-125.165467, 56.786033"
20220929,"-123.152083, 49.6787"
20220909,"-117.292633, 51.811467"
20220718,"-121.2058, 49.495717"
20220722,"-117.501167, 49.897717"
20220822,"-120.451833, 49.134433"
20220627,"-126.876833, 56.8689"
20220831,"-120.22435, 49.428017"
20220811,"-117.519433, 49.75625"
20220811,"-131.366783, 57.813467"
20220916,"-123.99375, 49.066783"
20220726,"-117.976117, 50.634383"
20220822,"-121.06405, 51.486467"
20220823,"-115.477033, 49.60755"
20220910,"-123.27055, 48.602033"
20220927,"-117.935367, 51.905033"
20220723,"-124.679833, 50.843333"
20230328,"-120.843217, 50.05045"
20220911,"-121.591133, 51.7292"
20220402,"-120.4236, 56.589133"
20220824,"-123.442833, 55.115833"
20220804,"-117.466817, 49.811317"
20221022,"-125.559533, 50.232617"
20220729,"-119.071716, 50.426466"
20220729,"-118.767666, 50.806833"
20220420,"-120.447817, 50.569733"
20220527,"-121.963667, 51.928083"
20220701,"-117.075833, 49.89"
20220611,"-120.420033, 50.8325"
20220601,"-133.609733, 59.582683"
20220825,"-117.127283, 49.11455"
20220918,"-123.85325, 56.489833"
20220813,"-116.797233, 49.801017"
20220926,"-124.7513, 51.317417"
20221005,"-117.95565, 50.390483"
20220810,"-125.476083, 49.42825"
20220802,"-118.956, 51.062"
20220826,"-116.754167, 49.863967"
20220717,"-116.914717, 51.52305"
20220906,"-123.1528, 53.664083"
20221006,"-122.737417, 49.319667"
20220824,"-118.779383, 49.53875"
20230318,"-121.560733, 50.256367"
20221016,"-119.34225, 49.4673"
20221015,"-119.156117, 49.071283"
20220714,"-120.464583, 50.619667"
20220818,"-115.907533, 49.616083"
20220824,"-121.318767, 49.043433"
20220729,"-119.16055, 52.731217"
20221010,"-119.376917, 49.815483"
20221016,"-121.949833, 49.092133"
20220724,"-118.307167, 49.556433"
20220905,"-124.449317, 50.599733"
20230208,"-119.435633, 50.0655"
20220914,"-119.833817, 49.837617"
20220810,"-121.78695, 50.810867"
